date,county,mode,injury,depth,species,longitude,latitude,year,yearly_incidents
2020-05-01T00:00:00Z,Santa Barbara,Swimming,minor,surface,White,-119.695,34.41333,2020,9
2020-05-09T00:00:00Z,Santa Cruz,Surfing / Boarding,fatal,surface,White,-121.8558,36.919966,2020,9
2020-05-25T00:00:00Z,Humboldt,Kayaking / Canoeing,none,surface,White,-124.283333,40.028333,2020,9
2020-06-19T00:00:00Z,Island - Santa Cruz,Scuba Diving,none,35',White,-119.52207,34.034931,2020,9
2020-08-12T00:00:00Z,Los Angeles,Freediving,minor,surface,White,-118.4089628,33.79,2020,9
2020-08-28T00:00:00Z,Humboldt,Kayaking / Canoeing,none,surface,White,-124.383333,40.028333,2020,9
2020-12-30T00:00:00Z,San Diego,Swimming,none,surface,White,-117.316667,32.685,2020,9
2021-06-26T00:00:00Z,San Mateo,Freediving,major,surface,White,-122.615003,37.564967,2021,7
2021-06-30T00:00:00Z,Island - Catalina,Kayaking / Canoeing,minor,surface,White,-118.55,33.47,2021,7
2021-07-05T00:00:00Z,San Luis Obispo,Kayaking / Canoeing,none,surface,White,-121.222,35.583,2021,7
2021-07-22T00:00:00Z,Monterey,Surfing / Boarding,none,surface,NA,-121.7917,36.8076,2021,7
2021-10-03T00:00:00Z,Sonoma,Surfing / Boarding,major,surface,White,-123.7766667,38.35833333,2021,7
2021-12-22T00:00:00Z,Sonoma,Surfing / Boarding,none,surface,White,-123.8766667,38.358333333,2021,7
2021-12-24T00:00:00Z,San Luis Obispo,Surfing / Boarding,fatal,surface,White,-121.175,35.40333333,2021,7
2022-02-26T00:00:00Z,Island - San Miguel,Scuba Diving,major,surface,White,-120.8366667,34.04,2022,1
